game_id,date,home_team,away_team,home_score,away_score,home_win,league,attendance,away_3p_attempts,away_3p_made,away_3p_pct,away_assists,away_blocks,away_fg_attempts,away_fg_made,away_fg_pct,away_fouls,away_ft_attempts,away_ft_made,away_ft_pct,away_q1,away_q2,away_q3,away_q4,away_rebounds,away_rest_days,away_steals,away_travel_distance,away_turnovers,defensive_rating,home_3p_attempts,home_3p_made,home_3p_pct,home_assists,home_blocks,home_fg_attempts,home_fg_made,home_fg_pct,home_fouls,home_ft_attempts,home_ft_made,home_ft_pct,home_q1,home_q2,home_q3,home_q4,home_rebounds,home_rest_days,home_steals,home_travel_distance,home_turnovers,offensive_rating,overtime,pace,pace_estimate,point_diff,processed_at,referees,season,total_points,true_shooting_pct,venue
game_4651630198108193392,2026-01-28,Unknown,28,23,25,0,Unknown,5000,12,4,0.333,20,4,24,12,0.5,20,8,5,0.625,0,0,0,0,35,,7,,13,,9,3,0.333,20,4,22,11,0.5,20,7,4,0.571,0,0,0,0,35,,7,,13,,0,,0.5333333333333333,-2,2026-01-28T15:28:30.647845,Unknown,2024-25,48,,Unknown
game_-4798456851446085707,2026-01-28,Unknown,26,11,34,0,Unknown,5000,15,5,0.333,20,4,34,17,0.5,20,9,6,0.667,0,0,0,0,35,,7,,13,,3,1,0.333,20,4,10,5,0.5,20,5,2,0.4,0,0,0,0,35,,7,,13,,0,,0.5,-23,2026-01-28T15:28:30.647978,Unknown,2024-25,45,,Unknown
game_7504264119368306728,2026-01-28,Unknown,26,12,36,0,Unknown,5000,18,6,0.333,20,4,36,18,0.5,20,10,7,0.7,0,0,0,0,35,,7,,13,,6,2,0.333,20,4,12,6,0.5,20,5,2,0.4,0,0,0,0,35,,7,,13,,0,,0.5333333333333333,-24,2026-01-28T15:28:30.648082,Unknown,2024-25,48,,Unknown
game_7385995070914309291,2026-01-28,Unknown,36,28,18,1,Unknown,5000,9,3,0.333,20,4,18,9,0.5,20,6,3,0.5,0,0,0,0,35,,7,,13,,12,4,0.333,20,4,28,14,0.5,20,8,5,0.625,0,0,0,0,35,,7,,13,,0,,0.5111111111111111,10,2026-01-28T15:28:30.648180,Unknown,2024-25,46,,Unknown
game_-8498959344500631063,2026-01-28,Unknown,34,18,27,0,Unknown,5000,12,4,0.333,20,4,26,13,0.5,20,8,5,0.625,0,0,0,0,35,,7,,13,,9,3,0.333,20,4,18,9,0.5,20,6,3,0.5,0,0,0,0,35,,7,,13,,0,,0.5,-9,2026-01-28T15:28:30.648279,Unknown,2024-25,45,,Unknown
game_528031140206465439,2026-01-28,Unknown,42,25,21,1,Unknown,5000,9,3,0.333,20,4,20,10,0.5,20,7,4,0.571,0,0,0,0,35,,7,,13,,12,4,0.333,20,4,24,12,0.5,20,8,5,0.625,0,0,0,0,35,,7,,13,,0,,0.5111111111111111,4,2026-01-28T15:28:30.648373,Unknown,2024-25,46,,Unknown
game_6835635823943186494,2026-01-28,Unknown,14,12,37,0,Unknown,5000,18,6,0.333,20,4,36,18,0.5,20,10,7,0.7,0,0,0,0,35,,7,,13,,6,2,0.333,20,4,12,6,0.5,20,5,2,0.4,0,0,0,0,35,,7,,13,,0,,0.5444444444444444,-25,2026-01-28T15:28:30.648466,Unknown,2024-25,49,,Unknown
game_392555119405300422,2026-01-28,Unknown,17,38,10,1,Unknown,5000,3,1,0.333,20,4,10,5,0.5,20,5,2,0.4,0,0,0,0,35,,7,,13,,18,6,0.333,20,4,38,19,0.5,20,10,7,0.7,0,0,0,0,35,,7,,13,,0,,0.5333333333333333,28,2026-01-28T15:28:30.648556,Unknown,2024-25,48,,Unknown
game_3719592134665920470,2026-01-28,Unknown,29,12,33,0,Unknown,5000,15,5,0.333,20,4,32,16,0.5,20,9,6,0.667,0,0,0,0,35,,7,,13,,6,2,0.333,20,4,12,6,0.5,20,5,2,0.4,0,0,0,0,35,,7,,13,,0,,0.5,-21,2026-01-28T15:28:30.648649,Unknown,2024-25,45,,Unknown
game_3178077676699314328,2026-01-28,Unknown,28,28,19,1,Unknown,5000,9,3,0.333,20,4,18,9,0.5,20,6,3,0.5,0,0,0,0,35,,7,,13,,12,4,0.333,20,4,28,14,0.5,20,8,5,0.625,0,0,0,0,35,,7,,13,,0,,0.5222222222222223,9,2026-01-28T15:28:30.648739,Unknown,2024-25,47,,Unknown
