attendance,away_3p_attempts,away_3p_made,away_3p_pct,away_assists,away_blocks,away_fg_attempts,away_fg_made,away_fg_pct,away_fouls,away_ft_attempts,away_ft_made,away_ft_pct,away_q1,away_q2,away_q3,away_q4,away_rebounds,away_rest_days,away_score,away_steals,away_team,away_travel_distance,away_turnovers,date,defensive_rating,game_id,home_3p_attempts,home_3p_made,home_3p_pct,home_assists,home_blocks,home_fg_attempts,home_fg_made,home_fg_pct,home_fouls,home_ft_attempts,home_ft_made,home_ft_pct,home_q1,home_q2,home_q3,home_q4,home_rebounds,home_rest_days,home_score,home_steals,home_team,home_travel_distance,home_turnovers,home_win,league,offensive_rating,overtime,pace,pace_estimate,point_diff,processed_at,referees,season,total_points,true_shooting_pct,venue
5000,33,11,0.333,20,4,68,34,0.5,20,16,13,0.812,0,0,0,0,35,,69,7,Manresa,,13,2026-01-28,,game_628222884260218484,51,17,0.333,20,4,104,52,0.5,20,24,21,0.875,0,0,0,0,35,,105,7,H.Jerusa.,,13,1,Unknown,,0,,1.9333333333333333,36,2026-01-28T15:28:30.756610,Unknown,2024-25,174,,Unknown
5000,0,0,0,20,4,0,0,0,20,3,0,0.0,0,0,0,0,35,,1,7,102,,13,2026-01-28,,game_7692550764008139423,120,40,0.333,20,4,240,120,0.5,20,51,48,0.941,0,0,0,0,35,,240,7,Unknown,,13,1,Unknown,,0,,2.6777777777777776,239,2026-01-28T15:28:30.665111,Unknown,2024-25,241,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,F,,13,2026-01-28,,game_-1515841994910023913,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Anadolu Efes Istanbul,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:31.166486,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,F/PF,,13,2026-01-28,,game_5717836125329969593,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Wolves Vilnius,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.804663,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,C,,13,2026-01-28,,game_-3807485728799162277,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,KK Partizan,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:30.963067,Unknown,2024-25,4043,,Unknown
5000,0,0,0,20,4,0,0,0,20,3,0,0.0,0,0,0,0,35,,0,7,Detroit Pistons,,13,2026-01-28,,game_502609803534113429,0,0,0,20,4,2,1,0.5,20,3,0,0.0,0,0,0,0,35,,2,7,"Mon, Jan 20, 2020",,13,1,Unknown,,0,,0.022222222222222223,2,2026-01-28T15:28:30.697318,Unknown,2024-25,2,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_-4127365849363004847,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,KK Crvena zvezda,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:30.863507,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,SG,,13,2026-01-28,,game_1401702804563805053,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,BC Lietkabelis,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:31.082284,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,SG,,13,2026-01-28,,game_-281084962636339502,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Fenerbahçe SK,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.917009,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG,,13,2026-01-28,,game_-6871096312906334727,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,ratiopharm Ulm,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.938631,Unknown,2024-25,4049,,Unknown
